2022-10-05 17:14:01,198 INFO     Camera Started
2022-10-05 17:14:23,307 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,385 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,473 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,528 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,599 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,665 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:23,733 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,815 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,903 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,964 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,037 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,123 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,188 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,247 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,330 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:24,399 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:24,466 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,531 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,599 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,670 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,744 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,801 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,902 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:24,968 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,037 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,106 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,165 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:25,228 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,309 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,375 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:25,446 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,510 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:25,581 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,637 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,709 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:25,768 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,834 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:25,908 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,018 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,082 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,138 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,201 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,263 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,328 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,411 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,486 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,557 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,629 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,697 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:26,765 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:26,845 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
