Date,Time,Focus,Emotion,Head,Hand
2022-11-08,11:29:04:470,0,0,0,
2022-11-08,11:29:04:556,0,0,0,
2022-11-08,11:29:04:556,0,0,0,
2022-11-08,11:29:04:605,0,0,0,
2022-11-08,11:29:04:605,0,0,0,
2022-11-08,11:29:04:686,0,0,0,
2022-11-08,11:29:04:686,0,0,0,
2022-11-08,11:29:04:771,0,0,0,
2022-11-08,11:29:04:771,0,0,0,
2022-11-08,11:29:04:827,0,0,0,
2022-11-08,11:29:04:827,0,0,0,
2022-11-08,11:29:04:906,0,0,0,
2022-11-08,11:29:04:971,0,0,0,
2022-11-08,11:29:05:056,1,0,1,
2022-11-08,11:29:05:109,1,0,1,
2022-11-08,11:29:05:176,1,0,1,
2022-11-08,11:29:05:257,1,0,1,
2022-11-08,11:29:05:323,0,0,1,
2022-11-08,11:29:05:389,0,0,1,
2022-11-08,11:29:05:465,0,0,1,
2022-11-08,11:29:05:523,1,0,1,
2022-11-08,11:29:05:592,1,0,1,
2022-11-08,11:29:05:673,1,0,1,
2022-11-08,11:29:05:724,1,0,1,
2022-11-08,11:29:05:792,1,0,1,
2022-11-08,11:29:05:875,1,0,1,
2022-11-08,11:29:05:941,1,0,1,
2022-11-08,11:29:06:008,1,0,1,
2022-11-08,11:29:06:090,1,0,1,
2022-11-08,11:29:06:143,1,0,1,
2022-11-08,11:29:06:224,1,0,1,
2022-11-08,11:29:06:274,1,0,1,
2022-11-08,11:29:06:360,1,0,1,
2022-11-08,11:29:06:424,1,0,1,
2022-11-08,11:29:06:475,1,0,1,
2022-11-08,11:29:06:570,1,0,1,
2022-11-08,11:29:06:644,1,0,1,
2022-11-08,11:29:06:724,1,0,1,
2022-11-08,11:29:06:776,1,0,1,
2022-11-08,11:29:06:844,1,0,1,
2022-11-08,11:29:06:925,1,0,1,
2022-11-08,11:29:06:975,1,0,1,
2022-11-08,11:29:07:060,1,0,1,
2022-11-08,11:29:07:125,1,0,1,
2022-11-08,11:29:07:194,1,0,1,
2022-11-08,11:29:07:276,1,0,1,
2022-11-08,11:29:07:327,1,0,1,
